otu	domain	phylum	order	class	family	genus	quality
OTU_260	Bacteria	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	Incertae_Sedis	|79
OTU_261	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinivibrio	|100
OTU_262	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	|99
OTU_263	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	|100
OTU_265	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	|99
OTU_266	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	|90
OTU_267	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	|100
OTU_268	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	|100
OTU_269	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	|100
OTU_270	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	|76
OTU_271	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|76
OTU_272	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	|98
OTU_273	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|95
OTU_274	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|100
OTU_275	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	|100
OTU_276	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	|100
OTU_277	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	|93
OTU_278	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|74
OTU_279	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|78
OTU_280	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
OTU_281	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	|86
OTU_282	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|99
OTU_283	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	|99
OTU_284	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	|100
OTU_285	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_286	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia	|93
OTU_287	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|97
OTU_288	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	|74
OTU_289	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_290	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	|99
OTU_291	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Atopobium	|100
OTU_292	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_293	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_SS1	|100
OTU_294	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Thalassospira	|100
OTU_295	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_296	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	unclassified	|99
OTU_297	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_298	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Finegoldia	|100
OTU_299	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	|99
OTU_300	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
OTU_301	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|71
OTU_302	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	|100
OTU_303	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Incertae_Sedis	|89
OTU_304	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_305	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|70
OTU_306	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
OTU_308	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|100
OTU_309	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_310	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|98
OTU_311	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Anaerovorax	|90
OTU_312	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	|88
OTU_313	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
OTU_314	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|77
OTU_315	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	|93
OTU_316	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|100
OTU_317	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Peptococcus	|100
OTU_318	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|94
OTU_319	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	|100
OTU_320	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter	|78
OTU_321	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	|100
OTU_322	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	|100
OTU_323	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	|100
OTU_324	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	unclassified	|100
OTU_325	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Mogibacterium	|100
OTU_326	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Proteus	|100
OTU_327	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|100
OTU_328	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|97
OTU_329	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	|97
OTU_330	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|77
OTU_331	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	|84
OTU_332	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	|100
OTU_333	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	unclassified	|100
OTU_334	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Gordonibacter	|89
OTU_335	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_336	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|100
OTU_337	Bacteria	Cyanobacteria	Chloroplast	unclassified	unclassified	unclassified	|100
OTU_338	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	|100
OTU_340	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	|100
OTU_341	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	|100
OTU_342	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Cloacibacillus	|100
OTU_343	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Parasutterella	|100
OTU_344	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_345	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|72
OTU_346	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
OTU_347	Bacteria	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	unclassified	|98
OTU_348	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	|96
OTU_349	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	|82
OTU_350	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_352	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
OTU_353	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	|97
OTU_354	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|71
OTU_355	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|100
OTU_356	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	|100
OTU_357	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	|99
OTU_358	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|98
OTU_359	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
OTU_360	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Slackia	|100
OTU_361	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	|100
OTU_362	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_363	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
OTU_364	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	|99
OTU_366	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|100
OTU_367	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	|100
OTU_368	Bacteria	Firmicutes	Clostridia	Clostridiales	vadinBB60	unclassified	|98
OTU_369	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unclassified	|77
OTU_370	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	unclassified	unclassified	|100
OTU_371	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	|100
OTU_372	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unclassified	|80
OTU_373	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	|100
OTU_374	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	|96
OTU_376	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Finegoldia	|100
OTU_377	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	|100
OTU_378	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
OTU_379	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	|100
OTU_380	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|79
OTU_381	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Thalassospira	|85
OTU_382	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	|100
OTU_383	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	|100
OTU_384	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Hydrogenoanaerobacterium	|100
OTU_385	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|100
OTU_386	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	|100
OTU_388	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|97
OTU_389	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Howardella	|100
OTU_390	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	|100
OTU_391	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
OTU_393	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Incertae_Sedis	|95
OTU_394	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	|95
OTU_395	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|80
OTU_396	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|74
OTU_397	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Incertae_Sedis	|97
OTU_398	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	|100
OTU_399	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	|98
OTU_400	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	|100
OTU_401	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|98
OTU_402	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_403	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|99
OTU_404	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Anaerovorax	|70
OTU_405	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
OTU_406	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Incertae_Sedis	|100
OTU_407	Bacteria	Tenericutes	Mollicutes	NB1-n	unclassified	unclassified	|81
OTU_408	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	|99
OTU_409	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	RC9_gut_group	|95
OTU_410	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|100
OTU_411	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Pseudobutyrivibrio	|70
OTU_413	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Papillibacter	|86
OTU_414	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Parvimonas	|100
OTU_415	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	|100
OTU_416	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Barnesiella	|99
OTU_417	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|98
OTU_418	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter	|100
OTU_419	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Incertae_Sedis	|88
OTU_420	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|96
OTU_421	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enterorhabdus	|100
OTU_422	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Mitsuokella	|100
OTU_423	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|100
OTU_424	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_425	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	|91
OTU_426	Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	|100
OTU_427	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Incertae_Sedis	|100
OTU_428	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|79
OTU_429	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|99
OTU_430	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Incertae_Sedis	|100
OTU_431	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Incertae_Sedis	|98
OTU_432	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	|100
OTU_433	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	|100
OTU_434	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	unclassified	|95
OTU_435	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
OTU_436	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|73
OTU_437	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|98
OTU_438	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|96
OTU_439	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas	|100
OTU_440	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	|73
OTU_441	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenella	|100
OTU_442	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Incertae_Sedis	|100
OTU_443	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|95
OTU_444	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Olsenella	|99
OTU_445	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	unclassified	|100
OTU_446	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|85
OTU_447	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Sporobacter	|87
OTU_448	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_SS13	|97
OTU_449	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|81
OTU_450	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Peptoniphilus	|100
OTU_451	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	|97
OTU_452	Bacteria	Bacteroidetes	unclassified	unclassified	unclassified	unclassified	|92
OTU_453	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	|72
OTU_454	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|98
OTU_455	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|79
OTU_456	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Mitsuokella	|100
OTU_457	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	unclassified	|100
OTU_460	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unclassified	|71
OTU_461	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|82
OTU_462	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	RC9_gut_group	|100
OTU_464	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	|100
OTU_465	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|76
OTU_466	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|71
OTU_467	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Cloacibacillus	|100
OTU_468	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|94
OTU_469	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|75
OTU_470	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	|100
OTU_471	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|99
OTU_472	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	unclassified	|99
OTU_473	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	|92
OTU_474	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Succiniclasticum	|100
OTU_475	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|100
OTU_476	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	unclassified	unclassified	|100
OTU_478	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|94
OTU_479	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|85
OTU_480	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|100
OTU_481	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Cellulosilyticum	|100
OTU_482	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	unclassified	|100
OTU_483	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	|79
OTU_484	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Scardovia	|100
OTU_486	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	|100
OTU_487	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	|100
OTU_488	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cloacibacterium	|83
OTU_489	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|88
OTU_490	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Paenalcaligenes	|100
OTU_491	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|98
OTU_492	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_493	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|99
OTU_494	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_495	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Finegoldia	|100
OTU_496	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unclassified	|77
OTU_497	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|77
OTU_498	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|100
OTU_499	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	|89
OTU_500	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|98
OTU_501	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	|100
OTU_502	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|77
OTU_503	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Incertae_Sedis	|99
OTU_504	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_505	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|86
OTU_506	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	|83
OTU_507	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|96
OTU_508	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|100
OTU_509	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas	|100
OTU_510	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|92
OTU_512	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|95
OTU_513	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Dysgonomonas	|100
OTU_515	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|98
OTU_516	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Tissierella	|99
OTU_517	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|84
OTU_518	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Anaeroglobus	|99
OTU_519	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_SS1	|86
OTU_520	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	|98
OTU_521	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|99
OTU_522	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	|100
OTU_523	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	|100
OTU_524	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	|99
OTU_525	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	|100
OTU_526	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	|100
OTU_527	Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	|100
OTU_528	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenella	|94
OTU_529	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|100
OTU_530	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Coprobacter	|100
OTU_531	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	|100
OTU_532	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|79
OTU_533	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	|100
OTU_534	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	|100
OTU_535	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	unclassified	|100
OTU_536	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_537	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	|100
OTU_538	Bacteria	Actinobacteria	unclassified	unclassified	unclassified	unclassified	|70
OTU_539	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	mitochondria	unclassified	|100
